x,y,CLIMATE_IDENTIFIER,STATION_NAME,STN_ID,ID,SOURCE,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.12,DLY02,2009-02-12 00:00:00,NS,2009,2,12,0.3,,-1.1,,1.7,,10.9,,,M,,M,,,9,,33,,0,,17.7,,94,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.13,DLY02,2009-02-13 00:00:00,NS,2009,2,13,-6,,-12.2,,0.3,,0.6,,,M,,M,,,30,,67,,0,,24,,72,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.14,DLY02,2009-02-14 00:00:00,NS,2009,2,14,-9.1,,-13.8,,-4.4,,0,,,M,,M,,,26,,48,,0,,27.1,,54,,91,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.15,DLY02,2009-02-15 00:00:00,NS,2009,2,15,-6.5,,-11.7,,-1.3,,0.8,,,M,,M,,,36,,35,,0,,24.5,,71,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.16,DLY02,2009-02-16 00:00:00,NS,2009,2,16,-5.6,,-8.9,,-2.3,,0.2,,,M,,M,,,35,,41,,0,,23.6,,73,,96,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.17,DLY02,2009-02-17 00:00:00,NS,2009,2,17,-7.1,,-10.3,,-3.8,,1.2,,,M,,M,,,35,,44,,0,,25.1,,77,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.18,DLY02,2009-02-18 00:00:00,NS,2009,2,18,-7.5,,-10.1,,-4.9,,0.2,,,M,,M,,,33,,69,,0,,25.5,,78,,95,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.19,DLY02,2009-02-19 00:00:00,NS,2009,2,19,-6.5,,-13.8,,0.8,,1.3,,,M,,M,,,11,,65,,0,,24.5,,63,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.20,DLY02,2009-02-20 00:00:00,NS,2009,2,20,0.1,,-3,,3.1,,1,,,M,,M,,,20,,57,,0,,17.9,,70,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.21,DLY02,2009-02-21 00:00:00,NS,2009,2,21,-1.4,,-3.4,,0.6,,0,,,M,,M,,,21,,59,,0,,19.4,,56,,86,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.22,DLY02,2009-02-22 00:00:00,NS,2009,2,22,-3.8,,-7.7,,0.1,,1.9,,,M,,M,,,25,,43,,0,,21.8,,51,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.23,DLY02,2009-02-23 00:00:00,NS,2009,2,23,-0.4,,-3.4,,2.6,,17.3,,,M,,M,,,21,,87,,0,,18.4,,72,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.24,DLY02,2009-02-24 00:00:00,NS,2009,2,24,-4.1,,-5.5,,-2.7,,0,,,M,,M,,,24,,67,,0,,22.1,,73,,93,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.25,DLY02,2009-02-25 00:00:00,NS,2009,2,25,-5,,-9.6,,-0.3,,0,,,M,,M,,,28,,44,,0,,23,,53,,88,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.26,DLY02,2009-02-26 00:00:00,NS,2009,2,26,-3.8,,-11.5,,3.9,,0,,,M,,M,,,20,,32,,0,,21.8,,41,,95,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.27,DLY02,2009-02-27 00:00:00,NS,2009,2,27,2.1,,-1.9,,6,,0,,,M,,M,,,19,,50,,0,,15.9,,45,,98,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.2.28,DLY02,2009-02-28 00:00:00,NS,2009,2,28,1,,-6.1,,8.1,,6.9,,,M,,M,,,19,,56,,0,,17,,83,,98,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.1,DLY02,2009-03-01 00:00:00,NS,2009,3,1,-4.5,,-8.1,,-0.8,,5.1,,,M,,M,,,35,,39,,0,,22.5,,84,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.2,DLY02,2009-03-02 00:00:00,NS,2009,3,2,3.8,,-1.8,,9.4,,9.5,,,M,,M,,,18,,69,,0,,14.2,,94,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.3,DLY02,2009-03-03 00:00:00,NS,2009,3,3,2.8,,-4,,9.5,,9.5,,,M,,M,,,16,,78,,0,,15.2,,86,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.4,DLY02,2009-03-04 00:00:00,NS,2009,3,4,-8.4,,-12.8,,-4,,0,,,M,,M,,,27,,35,,0,,26.4,,62,,93,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.5,DLY02,2009-03-05 00:00:00,NS,2009,3,5,-9.7,,-12.8,,-6.5,,,M,,M,,M,,,0,,0,,0,,27.7,,,,,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.6,DLY02,2009-03-06 00:00:00,NS,2009,3,6,-5.7,,-12.3,,1,,0.9,,,M,,M,,,16,,57,,0,,23.7,,33,,100,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.7,DLY02,2009-03-07 00:00:00,NS,2009,3,7,3.1,,0.3,,5.9,,10,,,M,,M,,,19,,65,,0,,14.9,,70,,99,
-60.041666666666664,46.163333333333334,8205702,SYDNEY CS,44503,8205702.2009.3.8,DLY02,2009-03-08 00:00:00,NS,2009,3,8,-1.1,,-2.8,,0.7,,3.6,,,M,,M,,,0,,0,,0,,19.1,,74,,100,
